numero,tipo_registro,nome,compositor,edicao,tonalidade,armadura,compasso,andamento,andamento_figura,andamento_min,andamento_max,voz_violino,oitava_violino,arcadas,ritornello,final,fonte,arquivo,pdf_pagina,observacoes
1,HINO,"Cristo, meu Mestre...",Leila Naylor Morris,órgão,VALIDAÇÃO NECESSÁRIA,3 bemóis,4/4,seminima = 56-66,seminima,56,66,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_1_a_100.pdf,9,
2,HINO,De Deus tu és eleita,Samuel Sebastian Wesley,órgão,VALIDAÇÃO NECESSÁRIA,3 bemóis,4/4,seminima = 60-80,seminima,60,80,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_1_a_100.pdf,10,
3,HINO,Faz-nos ouvir Tua voz,,órgão,VALIDAÇÃO NECESSÁRIA,2 sustenidos,4/4,seminima = 60-76,seminima,60,76,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_1_a_100.pdf,11,
4,HINO,Ouve a nossa oração,Bentley DeForest Ackley,órgão,VALIDAÇÃO NECESSÁRIA,4 bemóis,6/4,seminima = 112-138,seminima,112,138,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_1_a_100.pdf,12,
5,HINO,A Rocha celestial,Leila Naylor Morris,órgão,VALIDAÇÃO NECESSÁRIA,3 bemóis,6/8,colcheia = 112-144,colcheia,112,144,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_1_a_100.pdf,13,
6,HINO,"Glória ao Justo, fiel Cordeiro!",,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_1_a_100.pdf,14,
7,HINO,"Granjeai, granjeai os talentos",João Dieners,órgão,VALIDAÇÃO NECESSÁRIA,3 bemóis,6/4,seminima = 80-100,seminima,80,100,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_1_a_100.pdf,15,
8,HINO,"Oh! Vem, sim, vem",Peter Philip Bilhorn,órgão,VALIDAÇÃO NECESSÁRIA,3 bemóis,6/8,colcheia = 112-138,colcheia,112,138,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_1_a_100.pdf,16,
9,HINO,Luminosa é a senda,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_1_a_100.pdf,17,
10,HINO,Prossegui vitoriosos em Cristo,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_1_a_100.pdf,18,
11,HINO,"Ó igreja de Deus, resplandece",,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_1_a_100.pdf,19,
12,HINO,Sempre em Jesus confiarei,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_1_a_100.pdf,20,
13,HINO,Confiemos em Deus,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_1_a_100.pdf,21,
14,HINO,Manda os Teus dons celestes,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_1_a_100.pdf,22,
15,HINO,Ó alma que choras,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_1_a_100.pdf,23,
16,HINO,Promessa excelente,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_1_a_100.pdf,24,
17,HINO,"Ó Senhor, vem visitar-me",,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_1_a_100.pdf,25,
18,HINO,É Jesus meu Refúgio,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_1_a_100.pdf,26,
19,HINO,Manda-nos Teu Poder,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_1_a_100.pdf,28,
