ID,instrumento,fonte,fase,modulo,licao,assunto,subassunto,habilidade,pagina,dificuldade,tipo_de_atividade,tipo_de_questao,pre_requisito,objetivo,tags
VIO-MSA-F01-L01,violino,MSA,1,MSA-F01,"Som, ruído e música",O som e a música,"Propriedades do som, notas musicais",COMPREENSÃO,9,1,LICAO,,,"Estudar som, ruído e música (MSA, pág. 9)",msa;fase1;som
VIO-MSA-F01-L02,violino,MSA,1,MSA-F01,As quatro propriedades do som,O som e a música,"Propriedades do som, notas musicais",COMPREENSÃO,10,1,LICAO,,,"Estudar as quatro propriedades do som (MSA, pág. 10)",msa;fase1;som
VIO-MSA-F01-L03,violino,MSA,1,MSA-F01,As sete notas musicais,O som e a música,"Propriedades do som, notas musicais",COMPREENSÃO,11,1,LICAO,,,"Estudar as sete notas musicais (MSA, pág. 11)",msa;fase1;som
VIO-MSA-F01-JOUV,violino,MSA,1,MSA-F01,,O som e a música,Grave ou agudo?,APLICAÇÃO,,1,JOGO,ouvido,,Grave ou agudo?,msa;jogo;ouvido
VIO-MSA-F01-JMEM,violino,MSA,1,MSA-F01,,O som e a música,Jogo da memória: propriedades do som,APLICAÇÃO,,1,JOGO,memoria,,Jogo da memória: propriedades do som,msa;jogo;memoria
VIO-MSA-F02-L01,violino,MSA,2,MSA-F02,Pauta e pentagrama,A escrita musical,"Pentagrama, claves, figuras e pausas",COMPREENSÃO,12,1,LICAO,,MSA-F01,"Estudar pauta e pentagrama (MSA, pág. 12)",msa;fase2;escrita
VIO-MSA-F02-L02,violino,MSA,2,MSA-F02,As claves,A escrita musical,"Pentagrama, claves, figuras e pausas",COMPREENSÃO,13,1,LICAO,,MSA-F01,"Estudar as claves (MSA, pág. 13)",msa;fase2;escrita
VIO-MSA-F02-L03,violino,MSA,2,MSA-F02,Figuras de nota,A escrita musical,"Pentagrama, claves, figuras e pausas",COMPREENSÃO,15,1,LICAO,,MSA-F01,"Estudar figuras de nota (MSA, pág. 15)",msa;fase2;escrita
VIO-MSA-F02-L04,violino,MSA,2,MSA-F02,Partes da nota e pausas,A escrita musical,"Pentagrama, claves, figuras e pausas",COMPREENSÃO,17,1,LICAO,,MSA-F01,"Estudar partes da nota e pausas (MSA, pág. 17)",msa;fase2;escrita
VIO-MSA-F02-JMEM,violino,MSA,2,MSA-F02,,A escrita musical,Memória das figuras,APLICAÇÃO,,1,JOGO,memoria,,Memória das figuras,msa;jogo;memoria
VIO-MSA-F02-JPEN,violino,MSA,2,MSA-F02,,A escrita musical,Leitura relâmpago,APLICAÇÃO,,1,JOGO,pentagrama,,Leitura relâmpago,msa;jogo;pentagrama
VIO-MSA-F03-L01,violino,MSA,3,MSA-F03,Pulsação e ritmo,"Ritmo, pulsação e compasso","Fórmulas simples, tempos fortes e condução",COMPREENSÃO,22,2,LICAO,,MSA-F02,"Estudar pulsação e ritmo (MSA, pág. 22)",msa;fase3;ritmo
VIO-MSA-F03-L02,violino,MSA,3,MSA-F03,Compasso e fórmula de compasso,"Ritmo, pulsação e compasso","Fórmulas simples, tempos fortes e condução",COMPREENSÃO,24,2,LICAO,,MSA-F02,"Estudar compasso e fórmula de compasso (MSA, pág. 24)",msa;fase3;ritmo
VIO-MSA-F03-L03,violino,MSA,3,MSA-F03,Tempos fortes e fracos,"Ritmo, pulsação e compasso","Fórmulas simples, tempos fortes e condução",COMPREENSÃO,26,2,LICAO,,MSA-F02,"Estudar tempos fortes e fracos (MSA, pág. 26)",msa;fase3;ritmo
VIO-MSA-F03-L04,violino,MSA,3,MSA-F03,Solfejo e movimentos de condução,"Ritmo, pulsação e compasso","Fórmulas simples, tempos fortes e condução",COMPREENSÃO,27,2,LICAO,,MSA-F02,"Estudar solfejo e movimentos de condução (MSA, pág. 27)",msa;fase3;ritmo
VIO-MSA-F03-JRIT,violino,MSA,3,MSA-F03,,"Ritmo, pulsação e compasso",Fecha o compasso,APLICAÇÃO,,2,JOGO,ritmo,,Fecha o compasso,msa;jogo;ritmo
VIO-MSA-F03-JPUL,violino,MSA,3,MSA-F03,,"Ritmo, pulsação e compasso",No compasso,APLICAÇÃO,,2,JOGO,pulso,,No compasso,msa;jogo;pulso
VIO-MSA-F04-L01,violino,MSA,4,MSA-F04,Metrônomo e andamento,"Metrônomo, ponto de aumento e tercinas","Velocidade, prolongamento e divisão especial",COMPREENSÃO,31,2,LICAO,,MSA-F03,"Estudar metrônomo e andamento (MSA, pág. 31)",msa;fase4;duracao
VIO-MSA-F04-L02,violino,MSA,4,MSA-F04,Ponto de aumento,"Metrônomo, ponto de aumento e tercinas","Velocidade, prolongamento e divisão especial",COMPREENSÃO,35,2,LICAO,,MSA-F03,"Estudar ponto de aumento (MSA, pág. 35)",msa;fase4;duracao
VIO-MSA-F04-L03,violino,MSA,4,MSA-F04,Ligadura e fermata,"Metrônomo, ponto de aumento e tercinas","Velocidade, prolongamento e divisão especial",COMPREENSÃO,38,2,LICAO,,MSA-F03,"Estudar ligadura e fermata (MSA, pág. 38)",msa;fase4;duracao
VIO-MSA-F04-L04,violino,MSA,4,MSA-F04,Tercinas,"Metrônomo, ponto de aumento e tercinas","Velocidade, prolongamento e divisão especial",COMPREENSÃO,44,2,LICAO,,MSA-F03,"Estudar tercinas (MSA, pág. 44)",msa;fase4;duracao
VIO-MSA-F04-JPUL,violino,MSA,4,MSA-F04,,"Metrônomo, ponto de aumento e tercinas",Acerta o bpm,APLICAÇÃO,,2,JOGO,pulso,,Acerta o bpm,msa;jogo;pulso
VIO-MSA-F04-JRIT,violino,MSA,4,MSA-F04,,"Metrônomo, ponto de aumento e tercinas",Fecha o compasso com ponto,APLICAÇÃO,,2,JOGO,ritmo,,Fecha o compasso com ponto,msa;jogo;ritmo
VIO-MSA-F05-L01,violino,MSA,5,MSA-F05,Tom e semitom,"Tons, semitons e acidentes","Sustenido, bemol, bequadro e enarmonia",COMPREENSÃO,52,3,LICAO,,MSA-F04,"Estudar tom e semitom (MSA, pág. 52)",msa;fase5;semitons
VIO-MSA-F05-L02,violino,MSA,5,MSA-F05,Os acidentes,"Tons, semitons e acidentes","Sustenido, bemol, bequadro e enarmonia",COMPREENSÃO,53,3,LICAO,,MSA-F04,"Estudar os acidentes (MSA, pág. 53)",msa;fase5;semitons
VIO-MSA-F05-L03,violino,MSA,5,MSA-F05,Semitom cromático e diatônico,"Tons, semitons e acidentes","Sustenido, bemol, bequadro e enarmonia",COMPREENSÃO,53,3,LICAO,,MSA-F04,"Estudar semitom cromático e diatônico (MSA, pág. 53)",msa;fase5;semitons
VIO-MSA-F05-L04,violino,MSA,5,MSA-F05,Enarmonia e uníssono,"Tons, semitons e acidentes","Sustenido, bemol, bequadro e enarmonia",COMPREENSÃO,54,3,LICAO,,MSA-F04,"Estudar enarmonia e uníssono (MSA, pág. 54)",msa;fase5;semitons
VIO-MSA-F05-JTEC,violino,MSA,5,MSA-F05,,"Tons, semitons e acidentes",Caça ao semitom,APLICAÇÃO,,3,JOGO,teclado,,Caça ao semitom,msa;jogo;teclado
